OBJECTID;N_DEPTO;Y;X;id_unico
390;Santa Cruz;-19,770303534;-63,558690011;40422168
395;Santa Cruz;-20,040752705;-63,525402053;39115402,1
396;Santa Cruz;-19,65016679;-63,673228638;40838181,4
397;Santa Cruz;-18,789993823;-63,300309579;46175686,4
398;Santa Cruz;-18,90701671;-63,401611891;45351019,8
399;Santa Cruz;-18,459926495;-63,209841625;48214812,3
400;Santa Cruz;-19,347885013;-63,495627307;42762642,5
401;Santa Cruz;-20,430671692;-63,280329764;37715854,6
402;Santa Cruz;-20,430567898;-63,280713595;37715565,4
403;Santa Cruz;-20,430098408;-63,280855357;37717476,9
404;Santa Cruz;-19,416275223;-63,665972501;42097113,3
405;Santa Cruz;-19,653926231;-63,672110992;40820444,1
406;Santa Cruz;-19,663823319;-63,647466463;40813073,3
407;Santa Cruz;-19,652946344;-63,643541041;40877208,8
408;Santa Cruz;-19,576362901;-63,679659205;41216315,3
409;Santa Cruz;-19,528342459;-63,670580404;41487791,7
410;Santa Cruz;-19,750434668;-63,675230645;40310638,6
411;Santa Cruz;-19,734476871;-63,593279864;40543617,6
412;Santa Cruz;-19,870378848;-63,561310455;39904833,1
413;Santa Cruz;-19,80397415;-63,594767233;40182189,3
414;Santa Cruz;-19,79563902;-63,539523219;40327389,6
415;Santa Cruz;-19,718226135;-63,660583291;40504958,2
416;Santa Cruz;-19,99984578;-63,640525163;39100471,2
417;Santa Cruz;-19,812841995;-63,657102746;40021210,7
418;Santa Cruz;-19,786720209;-63,203995705;40999566,3
419;Santa Cruz;-19,699414807;-63,208040643;41435525,3
420;Santa Cruz;-19,753543109;-63,157149831;41255371,1
421;Santa Cruz;-19,19903931;-63,259250835;43976741,6
422;Santa Cruz;-19,581453895;-63,281100083;41908610,3
423;Santa Cruz;-19,169770396;-63,274721239;44108999,4
424;Santa Cruz;-19,297225425;-63,282388268;43407199,4
425;Santa Cruz;-19,443583616;-63,251319234;42683895,3
426;Santa Cruz;-19,433559074;-63,222441101;42788437,8
35679;La Paz;-16,107103567;-68,576006719;65767316,2
36193;La Paz;-16,361447221;-68,329441585;62783234,1
36187;La Paz;-16,31708955;-68,297355769;63151828,3
433;Santa Cruz;-19,782988458;-62,86391874;41662102,2
434;Santa Cruz;-19,702667124;-62,387724056;42970314,9
435;Santa Cruz;-19,641908036;-62,617898412;42833046,5
436;Santa Cruz;-18,399731084;-62,28776745;50006357
437;Santa Cruz;-18,401802375;-62,288841704;49993014,8
438;Santa Cruz;-19,073864635;-63,19384169;44770263,5
439;Santa Cruz;-20,035179744;-63,277712016;39619790,2
440;Santa Cruz;-18,555365229;-63,379823541;47400019,3
441;Santa Cruz;-18,589918953;-63,3508;47243546,7
442;Santa Cruz;-18,566979204;-63,251721277;47529069,4
443;Santa Cruz;-18,543248049;-63,250302889;47668634,6
444;Santa Cruz;-18,379135852;-63,336750665;48499406,2
445;Santa Cruz;-18,32055498;-63,370887525;48797323,1
446;Santa Cruz;-18,436334714;-63,326476334;48177301,9
449;Santa Cruz;-18,457059862;-63,250387326;48170134,7
