c_manz,lat,long,id_unico
0173108060,-16.3048634947,-68.0618299184,628646167-A
0171671050,-16.3018721938,-68.0513604445,628760734-A
0173150400,-16.3029328142,-68.060072138,628800613-A
0171670360,-16.2958042385,-68.0540639146,629378636-A
0171620360,-16.3048382887,-68.0638376254,628680974-A
0171610370,-16.3025568688,-68.0633023245,628888389-A
0171670290,-16.2955984093,-68.0547293989,629408863-A
0171590290,-16.3025380265,-68.0653300267,628922975-A
0171610280,-16.3019353994,-68.0620717536,628927356-A
0171650270,-16.3040551588,-68.0601474487,628695559-A
0171620240,-16.3041931442,-68.0635954675,628738159-A
0131200430,-16.2807176139,-68.071672596,631094820-A
0173140130,-16.3033638282,-68.0637885636,628819823-A
0173220130,-16.3029191241,-68.0635558299,628858178-A
0173210120,-16.3039848256,-68.0552290833,628622990-A
0173310120,-16.3041491695,-68.0648056632,628761886-A
0171670110,-16.2948450819,-68.0523918795,629442479-A
0173210100,-16.303453967,-68.0557502943,628681624-A
0173140100,-16.3038823057,-68.0627451711,628753859-A
0173220100,-16.3023768085,-68.0634187066,628907325-A
0171630090,-16.3044409091,-68.0633493402,628710718-A
0171610090,-16.3013273211,-68.0623909783,628990106-A
0193930260,-16.3242761948,-68.0526566099,626662420-A
0193270240,-16.3243987824,-68.0344604005,626362462-A
0173140080,-16.3036409603,-68.0626185228,628774669-A
0173310080,-16.3039590584,-68.0652100179,628786432-A
0171640070,-16.3030087194,-68.0619779777,628824195-A
0173220070,-16.3024433629,-68.0643974851,628916852-A
0173140060,-16.3035201378,-68.0632676985,628796600-A
0173210050,-16.3039393092,-68.0545016897,628615598-A
0171590040,-16.3021879095,-68.0649147126,628949418-A
0173100030,-16.3037989419,-68.0616163958,628743525-A
0171590020,-16.302096124,-68.0650425809,628960182-A
0173150420,-16.3033245788,-68.0604435893,628769512-A
0213830290,-16.3132857544,-68.0547574741,627735316-A
0171620260,-16.3041688088,-68.0639811914,628746698-A
0173100250,-16.3040752848,-68.0614831361,628715206-A
0171640240,-16.3031870727,-68.0617120285,628803010-A
0173310200,-16.3048440719,-68.0644234848,628689894-A
0171610190,-16.3019570287,-68.06269827,628935434-A
0171600160,-16.3049097063,-68.0652438835,628696939-A
0192280191,-16.3227257569,-68.0150081286,626215101-A
0192250190,-16.3207517104,-68.0252681796,626562006-A
0171630150,-16.3046306826,-68.0639387045,628702269-A
0171640090,-16.3028121702,-68.0618595071,628840894-A
0192200180,-16.3225907727,-68.0443344753,626689409-A
0192250170,-16.3210453283,-68.025497216,626537897-A
0193370160,-16.3223430653,-68.0222753182,626364884-A
0192310150,-16.3250982965,-68.0354149128,626311473-A
0171610060,-16.3011522107,-68.0621386276,629002611-A
0171590050,-16.302220076,-68.0647525877,628943747-A
0171590030,-16.302072224,-68.0648118548,628958711-A
0173100020,-16.3036233523,-68.0617253942,628761912-A
0192210140,-16.3234248007,-68.0427057065,626584785-A
0171610010,-16.3009513047,-68.0621981594,629022601-A
0193490120,-16.3219695766,-68.0310253041,626537646-A
0193370060,-16.3228862617,-68.0254293455,626363118-A
0194000050,-16.3217823734,-68.0441746713,626763257-A
0192280041,-16.3206643953,-68.0147578517,626405561-A
0193370040,-16.3225658334,-68.0243514366,626376432-A
0192420140,-16.3136793679,-68.0244637779,627216840-A
0193930040,-16.3229324858,-68.0526780306,626789791-A
0193370020,-16.3222995565,-68.0239172973,626394742-A
0161588080,-16.2848504344,-68.0442866244,630258007-A
0192230010,-16.3223476769,-68.0352726335,626568939-A
0131230200,-16.2841564411,-68.0719584081,630773276-A
0161540010,-16.2954829209,-68.0618421347,629534821-A
0111320190,-16.2810544567,-68.0853610132,631287989-A
0051060100,-16.3027051888,-68.083885151,629208953-A
